Distance (mm),T (C),P (atm),H2,O2,H2O,CH4,CO,CO2,AR,PT(S),H(S),H2O(S),OH(S),CO(S),CO2(S),CH3(S),CH2(S),CH(S),C(S),O(S)
0.0,800.0000000000001,0.9999999999999997,0.0013646580134661673,0.000618218213547364,0.5773964787072345,0.09300183617834656,0.010246838163184823,0.27913373026321553,0.038238240461005046,0.9852079884737944,0.002000778153282363,0.0012033509475447748,0.00014546549748814397,0.009819144157452704,2.1606359158755716e-07,4.371269173942602e-08,1.1189358335048769e-10,6.101684731111171e-13,0.0016196995408613176,3.3133407922363657e-06
0.015000000000000001,800.0000000000001,1.0000000000000002,0.04726063576683526,6.983497824283649e-07,0.542774057195786,0.07767775225962345,0.014724850563635967,0.2802924959832905,0.03726950988104636,0.9623232978943236,0.01171230867842102,0.001104893987118057,8.295066041282868e-06,0.013591328052491839,2.108885303991098e-07,7.193049550234569e-09,6.579165153059542e-11,1.0667910972181814e-11,0.011259636245861751,2.191770545102997e-08
0.030000000000000002,800.0000000000001,0.9999999999999996,0.07422780648457403,8.173804636900514e-10,0.5221819817592597,0.06869529756712552,0.017891196502637995,0.2803136976945001,0.03669001917452235,0.9575833255459933,0.014617901361113874,0.0010577404527534276,6.71970697021228e-06,0.016270511791789122,2.098507240113133e-07,1.0259941213878911e-08,9.105496357255494e-11,1.242883554365499e-11,0.010463566561484684,1.4365748088192753e-08
0.045000000000000005,800.0000000000001,0.9999999999999999,0.09227650029246895,9.75901874565804e-13,0.5084500403943045,0.06261260168411753,0.02024896493404729,0.28011430548557653,0.036297587208509195,0.9555649874011003,0.016266137602548532,0.0010277541573228063,6.033735003353615e-06,0.018242335629313676,2.0925322045780038e-07,1.1291751507695446e-08,9.425588847287997e-11,1.1778196728801251e-11,0.008892519067984196,1.1755722567547286e-08
0.060000000000000005,800.0000000000001,0.9999999999999999,0.10544169891554506,1.1810292037042683e-15,0.49846837032185354,0.05812672054569752,0.022133173999570547,0.2798218606951569,0.03600817552217499,0.9542377757604561,0.017364978701822267,0.0010061783756683345,5.622291591903365e-06,0.01979788397174648,2.087409974167212e-07,1.139538322412482e-08,9.078401789647637e-11,1.0743528771878521e-11,0.007587330304828176,1.0355979367838111e-08
0.07500000000000001,800.0000000000001,1.0,0.11562077944740605,1.44589028550851e-18,0.4907764703808528,0.054622056992289975,0.023711674404984163,0.2794869505790121,0.03578206819545491,0.9531689841177721,0.01816548334916699,0.0009895424492942287,5.3392997367994565e-06,0.02108542262982534,2.0825555387284318e-07,1.1142691829130597e-08,8.569056232467271e-11,9.765319814182461e-12,0.006584999201267642,9.45923603252623e-09
0.09000000000000001,800.0000000000001,1.0000000000000004,0.12382721612734614,3.452136967978224e-21,0.4845941302560513,0.05176992093936846,0.02507369416368343,0.27913697909569074,0.035598059417859935,0.9522381390201932,0.018783390117959983,0.0009761229709166062,5.128541366854644e-06,0.02218444967046636,2.0779029848535748e-07,1.0764938503236408e-08,8.0528298088485e-11,8.921964883165934e-12,0.005812542210196548,8.824214073257544e-09
0.10500000000000001,800.0000000000001,0.9999999999999996,0.13065296702439308,1.5000893125421567e-21,0.4794657544945576,0.049378165063941645,0.026271898459361776,0.27878746237062185,0.03544375258712413,0.9514022712795801,0.019280290502087544,0.0009649450923721644,4.963212774185095e-06,0.023142067602232468,2.0734702620899686e-07,1.0354975610333788e-08,7.574913818222931e-11,8.208548644745835e-12,0.005205236180213929,8.344781123386136e-09
0.12000000000000001,800.0000000000001,1.0000000000000002,0.13646793497699805,1.3672716592587493e-21,0.47510694075008636,0.04732631141231159,0.027340568569265845,0.27844686935876073,0.03531137493257731,0.9506412023512159,0.01969223255553596,0.0009554079307896479,4.828696220777222e-06,0.023988904237878535,2.0692739557975235e-07,9.950418036151827e-09,7.145056070889978e-11,7.604103817455361e-12,0.004717199305108095,7.966383213441327e-09
0.135,800.0000000000001,1.0,0.14151589369042566,1.2652501723164914e-21,0.4713305740063161,0.04553452273379191,0.028303771876264372,0.2781194620299169,0.035195775663284946,0.9499427387645347,0.020041830165443114,0.0009471175417730606,4.716245316978672e-06,0.02474635752315914,2.0653174941100876e-07,9.565996869488275e-09,6.761590176961898e-11,7.087885079017537e-12,0.0043170159294697846,7.65785311761467e-09
0.15000000000000002,800.0000000000001,0.9999999999999997,0.14596458347012742,1.183057430556088e-21,0.46800816749518276,0.04394748719066807,0.02917933036586729,0.2778070452064662,0.035093386271688315,0.949298128619372,0.020344049942619007,0.0009398031650144658,4.620258691532583e-06,0.025430160539333703,2.0615939875841075e-07,9.20663243980652e-09,6.419555395355921e-11,6.642724154277624e-12,0.003983014638132485,7.399967337713753e-09
0.165,800.0000000000001,0.9999999999999999,0.14993363328751053,1.1152106482658293e-21,0.46504829405744286,0.04252546592914208,0.02998093252291076,0.277510031238464,0.035001642964529775,0.9487004821066481,0.020609231282887365,0.000933271551471629,4.5369576177833655e-06,0.02605230073428999,2.0580905615087394e-07,8.872981189491003e-09,6.113494902600766e-11,6.255099844472086e-12,0.0036999554374992725,7.180158984724386e-09
0.18000000000000002,800.0000000000001,0.9999999999999997,0.15351097207561423,1.0581026221945677e-21,0.4623839066225399,0.041239034476156095,0.030719363770993324,0.2772280756678876,0.03491864738680894,0.9481441315066745,0.020844773096711747,0.0009273804273296915,4.463685999120754e-06,0.02662214679312625,2.0547915998208952e-07,8.563888514334114e-09,5.838378859288115e-11,5.91449181378188e-12,0.0034568833929843473,6.9898283728109115e-09
0.195,800.0000000000001,1.0,0.15676291044897853,1.009258292762961e-21,0.4599645533412118,0.04006584639375134,0.031403282190520986,0.27696044979226087,0.03484295783327661,0.9476243167378365,0.021056128446086737,0.0009220222862827138,4.398513639000956e-06,0.02714716108244151,2.0516807706513727e-07,8.277504102759588e-09,5.589848790393201e-11,5.612700081413235e-12,0.00324575260375324,6.822869368500099e-09
0.21000000000000002,800.0000000000001,0.9999999999999997,0.1597405727754393,9.669205032067085e-22,0.4577514163415064,0.0389885607069194,0.03203973958760772,0.2767062550575592,0.03477345553096795,0.9471369966277549,0.02124741804619355,0.0009171140736176009,4.339998693928313e-06,0.02763337739980191,2.0487421672473608e-07,8.011793791666628e-09,5.3642196431998445e-11,5.3432857098963916e-12,0.0030605342341319688,6.674812428038939e-09
0.225,800.0000000000001,0.9999999999999997,0.16248413666260625,9.298054406021372e-22,0.45571404664745524,0.03799346889028332,0.03263454824596885,0.2764645434948307,0.03470925605885566,0.946678716989185,0.021421823290332348,0.0009125903898163511,4.2870388829732095e-06,0.028085735612427373,2.0459608857734024e-07,7.764770328835012e-09,5.158403699682802e-11,5.101143800792017e-12,0.002896627719512211,6.542301427538534e-09
0.24000000000000002,800.0000000000001,1.0,0.16502570849873233,8.969525013565532e-22,0.45382815342116967,0.03706955811039345,0.033192548064571316,0.2762343829938912,0.034649648911242004,0.9462465097426782,0.021581846384604822,0.0009083988774667199,4.238774702968425e-06,0.028508323782305073,2.043323268772965e-07,7.534590391858564e-09,4.969817997693733e-11,4.882185354171311e-12,0.002750464093985253,6.422761028618087e-09
0.255,800.0000000000001,0.9999999999999999,0.16739132347633523,8.67627472101924e-22,0.4520740692360545,0.03620785563150378,0.03371780591876211,0.27601489053448836,0.03459405520285609,0.9458378124064731,0.02172948746100139,0.0009044970085771873,4.1945244291340275e-06,0.02890455753473785,2.0408169605735207e-07,7.319587645468622e-09,4.796297383103613e-11,4.683101565461841e-12,0.0026192332966743044,6.314177796478016e-09
0.27,800.0000000000001,0.9999999999999999,0.1696023688653473,8.412590982936686e-22,0.45043565991661855,0.03540095935131781,0.03421376740578211,0.2758052470825731,0.03454199737836118,0.9454504024564201,0.021866368244643216,0.0009008497943506654,4.15373923101387e-06,0.029277315544616156,2.038430862950107e-07,7.118275545176323e-09,4.6360197116000144e-11,4.501188592120431e-12,0.002500692993563764,6.214951820102756e-09
