Distance (mm),T (C),P (atm),H2,O2,H2O,CH4,CO,CO2,AR,PT(S),H(S),H2O(S),OH(S),CO(S),CO2(S),CH3(S),CH2(S),CH(S),C(S),O(S)
0.0,1546.3000000000002,1.0000000000000002,6.4739478031086754e-12,0.5769230769120242,7.328310837887175e-12,0.3846153846059838,6.524363951673151e-12,3.7676536882475965e-13,0.038461538461288504,0.6220064891900267,9.864296006195157e-06,8.117564157902224e-07,0.003918428041490817,6.12506631153878e-05,4.683897022832426e-09,2.3830811229032145e-06,8.663970051778473e-09,7.855424213518033e-11,1.7619019743402317e-06,0.37399899764342653
2.44140625e-15,1546.3000000000002,1.0000000000000002,1.2178916810441008e-11,0.5769230769022844,1.3786161217357424e-11,0.38461538459769956,1.2273760655714491e-11,7.087783581846794e-13,0.038461538461068215,0.6220064891987825,9.864296015231601e-06,8.117564205962519e-07,0.003918428045163109,6.125066338968375e-05,4.6838970439567394e-09,2.383081124228857e-06,8.663970056711601e-09,7.855424217990625e-11,1.7619019754048744e-06,0.37399899763070776
4.5928210309636395e-15,1546.3000000000002,1.0000000000000002,2.3588854818839265e-11,0.576923076882805,2.670186200901355e-11,0.3846153845811313,2.3772554071258094e-11,1.3728043426682546e-12,0.03846153846062768,0.6220064892162942,9.86429603330428e-06,8.117564302082862e-07,0.00391842805250761,6.125066393827483e-05,4.683897086205308e-09,2.3830811268801117e-06,8.663970066577754e-09,7.855424226935702e-11,1.761901977534136e-06,0.3739989976052707
8.895650592890919e-15,1546.3000000000002,1.0000000000000002,4.640873080977861e-11,0.5769230768438457,5.2533263727483546e-11,0.3846153845479946,4.6770140933187667e-11,2.7008563354434115e-12,0.038461538459746564,0.6220064892513175,9.864296069449709e-06,8.117564494323649e-07,0.0039184280671966465,6.12506650354573e-05,4.683897170702465e-09,2.3830811321826333e-06,8.663970086310096e-09,7.855424244825894e-11,1.7619019817926692e-06,0.37399899755439603
1.7501309716745477e-14,1546.3000000000002,1.0000000000000002,9.204848268822934e-11,0.5769230767659276,1.0419606770505636e-10,0.38461538448172117,9.276531478041706e-11,5.3569604162257944e-12,0.038461538457984355,0.622006489321364,9.864296141740803e-06,8.117564878805501e-07,0.003918428096574814,6.125066722982315e-05,4.683897339696851e-09,2.3830811427877128e-06,8.66397012577491e-09,7.855424280606394e-11,1.7619019903097608e-06,0.3739989974526469
3.4712627964454595e-14,1546.3000000000002,0.9999999999999999,1.8332798603141871e-10,0.576923076610091,2.075216778227326e-10,0.38461538434917447,1.8475566296835652e-10,1.066916895871883e-11,0.03846153845445994,0.6220064894614571,9.864296286322942e-06,8.117565647769158e-07,0.003918428155331128,6.125067161855474e-05,4.683897677685612e-09,2.3830811639978633e-06,8.663970204704518e-09,7.855424352167379e-11,1.7619020073439403e-06,0.37399899724914853
6.913526445987282e-14,1546.3000000000002,1.0000000000000002,3.6588699106294745e-10,0.5769230762984181,4.1417290670820235e-10,0.384615384084081,3.6873636131815633e-10,2.1293587567417864e-11,0.0384615384474111,0.6220064897416436,9.864296575487053e-06,8.117567185696337e-07,0.0039184282728436885,6.125068039601737e-05,4.6838983536630955e-09,2.3830812064181403e-06,8.663970362563645e-09,7.855424495289261e-11,1.761902041412282e-06,0.37399899684215193
1.3798053745070929e-13,1546.3000000000002,1.0000000000000002,7.310049945066032e-10,0.5769230756750721,8.274753990796093e-10,0.38461538355389385,7.366977659134378e-10,4.254243087966782e-11,0.03846153843331341,0.6220064903020162,9.864297153815242e-06,8.117570261550857e-07,0.003918428507868793,6.125069795094273e-05,4.6838997056180695e-09,2.383081291258686e-06,8.663970678281861e-09,7.855424781532999e-11,1.761902109548956e-06,0.3739989960281588
2.756710834323822e-13,1546.3000000000002,1.0000000000000002,1.4612409749163155e-09,0.57692307442838,1.6540805222243087e-09,0.3846153824935198,1.4726206066867308e-09,8.504014188357658e-11,0.038461538405118054,0.6220064914227611,9.864298310471666e-06,8.117576413260863e-07,0.003918428977919026,6.125073306079509e-05,4.683902409528157e-09,2.383081460939787e-06,8.663971309718326e-09,7.855425354020508e-11,1.761902245822313e-06,0.3739989944001726
5.510521753957281e-13,1546.3000000000002,1.0000000000000002,2.9217128298252687e-09,0.5769230719349951,3.30729132212107e-09,0.3846153803727712,2.9444664145641334e-09,1.7003566140903162e-10,0.03846153834872733,0.6220064936642512,9.864300623783524e-06,8.117588716683262e-07,0.003918429918019101,6.125080328050151e-05,4.683907817348501e-09,2.383081800301835e-06,8.66397257259071e-09,7.855426498995026e-11,1.7619025183689168e-06,0.37399899114420065
1.1018143593224198e-12,1546.3000000000002,1.0000000000000002,5.842656116001044e-09,0.576923066948224,6.613715136343461e-09,0.3846153761312731,5.8881585356417224e-09,3.400270905305295e-10,0.03846153823594588,0.6220064981472307,9.864305250404974e-06,8.117613323539698e-07,0.003918431798218392,6.125094371992787e-05,4.683918632990396e-09,2.3830824790255878e-06,8.663975098334248e-09,7.855428788942946e-11,1.761903063461883e-06,0.3739989846322577
2.203338727175803e-12,1546.3000000000002,1.0000000000000002,8.763598974251712e-09,0.576923061961451,9.920141160146125e-09,0.3846153718897741,8.831851157725522e-09,5.10018909473409e-10,0.03846153812316442,0.6220065026302102,9.864309877023229e-06,8.117637930407129e-07,0.003918433678416464,6.125108415936451e-05,4.683929448633267e-09,2.383083157748857e-06,8.663977624076058e-09,7.855431078889302e-11,1.7619036085545103e-06,0.37399897812031624
3.304863095029187e-12,1546.3000000000002,1.0000000000000002,1.1684541404576892e-08,0.5769230569746764,1.3226569393528286e-08,0.38461536764827425,1.17755442808149e-08,6.800111182377006e-10,0.03846153801038297,0.622006507113189,9.86431450363847e-06,8.117662537285761e-07,0.003918435558613386,6.125122459881202e-05,4.683940264277167e-09,2.3830838364716698e-06,8.663980149816235e-09,7.855433368834171e-11,1.7619041536468178e-06,0.3739989716083764
4.40638746288257e-12,1546.3000000000002,1.0000000000000002,1.75264252497236e-08,0.5769230470011231,1.983943103337387e-08,0.38461535916527256,1.7662931691546473e-08,1.0199964500022798e-09,0.038461537784820074,0.6220065160791467,9.864323756859947e-06,8.117711751068255e-07,0.003918439319003787,6.125150547772606e-05,4.683961895566933e-09,2.3830851939159315e-06,8.663985201291731e-09,7.855437948719515e-11,1.7619052438304848e-06,0.3739989585845006
6.609436198589337e-12,1546.3000000000002,1.0000000000000002,2.33683075157046e-08,0.5769230370275631,2.6452300792367112e-08,0.38461535068226743,2.355032093907811e-08,1.3599832149577636e-09,0.03846153755925716,0.6220065250451028,9.864333010069086e-06,8.117760964891082e-07,0.003918443079389483,6.125178635667577e-05,4.683983526860167e-09,2.383086551358325e-06,8.663990252760542e-09,7.855442528598797e-11,1.76190633401284e-06,0.37399894556063085
8.812484934296103e-12,1546.3000000000002,1.0000000000000002,2.9210188094613946e-08,0.5769230270539961,3.306517925598173e-08,0.38461534219925864,2.9437712159537907e-08,1.6999715157599576e-09,0.038461537333694236,0.622006534011058,9.864342263265724e-06,8.117810178757424e-07,0.003918446839770394,6.12520672356663e-05,4.684005158157287e-09,2.383087908798825e-06,8.663995304222599e-09,7.855447108471957e-11,1.761907424193874e-06,0.37399893253676675
1.101553367000287e-11,1546.3000000000002,1.0000000000000002,4.089394408953145e-08,0.5769230071068409,4.6290962848683545e-08,0.3846153252332304,4.121250064747825e-08,2.379952821629277e-09,0.03846153688256838,0.6220065519429643,9.864360769621473e-06,8.117908606623826e-07,0.00391845436051788,6.12526289937745e-05,4.684048420763578e-09,2.383090623674132e-06,8.664005407126347e-09,7.855456268199806e-11,1.7619096045519456e-06,0.3739989064890571
1.54216311414164e-11,1546.3000000000002,1.0000000000000002,6.426143554893636e-08,0.5769229672124457,7.274263603771275e-08,0.38461529130113015,6.47621016582696e-08,3.739934135055049e-09,0.03846153598031659,0.622006587806762,9.864397782182697e-06,8.118105462887486e-07,0.003918469401955411,6.12537525104932e-05,4.684134946023838e-09,2.383096053401959e-06,8.664025612852422e-09,7.855474587581684e-11,1.7619139652521206e-06,0.37399885439370956
